PLAYERID,LAST,FIRST,NICKNAME,BIRTHDATE,BIRTH CITY,BIRTH STATE,BIRTH COUNTRY,PLAY DEBUT,PLAY LASTGAME,MGR DEBUT,MGR LASTGAME,COACH DEBUT,COACH LASTGAME,UMP DEBUT,UMP LASTGAME,DEATHDATE,DEATH CITY,DEATH STATE,DEATH COUNTRY,BATS,THROWS,HEIGHT,WEIGHT,CEMETERY,CEME CITY,CEME STATE,CEME COUNTRY,CEME NOTE,BIRTH NAME,NAME CHG,BAT CHG,HOF
abboc001,Abbott,"Cory James","Cory","09/20/1995","San Diego","California","USA","06/05/2021","10/02/2021",,,,,,,,,,,R,R,"6-01",210,,,,,,,,,
abbod101,Abbott,"Leander Franklin","Dan","03/16/1862","Portage","Ohio","USA","04/19/1890","05/23/1890",,,,,,,"02/13/1930","Ottawa Lake","Michigan","USA",R,R,"5-11",190,"Weston Cemetery","Weston","Ohio","USA",,,,,NOT
abbof101,Abbott,"Harry Frederick","Fred","10/22/1874","Versailles","Ohio","USA","04/25/1903","09/20/1905",,,,,"08/21/1905","09/09/1905","06/11/1935","Los Angeles","California","USA",R,R,"5-10",180,"Pierce Brothers' Valhalla Memorial Park","North Hollywood","California","USA",,"Harry Frederick Winbigler",,,NOT
abbog001,Abbott,"William Glenn","Glenn","02/16/1951","Little Rock","Arkansas","USA","07/29/1973","08/08/1984",,,,,,,,,,,R,R,"6-06",200,,,,,,,,,NOT
abboj001,Abbott,"James Anthony","Jim","09/19/1967","Flint","Michigan","USA","04/08/1989","07/21/1999",,,,,,,,,,,L,L,"6-03",200,,,,,,,,,NOT
abboj002,Abbott,"Jeffrey William","Jeff","08/17/1972","Atlanta","Georgia","USA","06/10/1997","09/29/2001",,,,,,,,,,,R,L,"6-02",190,,,,,,,,,NOT
abbok001,Abbott,"Lawrence Kyle","Kyle","02/18/1968","Newburyport","Massachusetts","USA","09/10/1991","08/24/1996",,,,,,,,,,,L,L,"6-04",200,,,,,,,,,NOT
abbok002,Abbott,"Kurt Thomas","Kurt","06/02/1969","Zanesville","Ohio","USA","09/07/1993","04/13/2001",,,,,,,,,,,R,R,"5-11",180,,,,,,,,,NOT
abboo101,Abbott,"Ody Cleon","Ody","09/05/1886","New Eagle","Pennsylvania","USA","09/10/1910","10/15/1910",,,,,,,"04/13/1933","Washington","D.C.","USA",L,R,"5-09",165,"Monongahela Cemetery","Monongahela","Pennsylvania","USA",,,,,NOT
abbop001,Abbott,"Paul David","Paul","09/15/1967","Van Nuys","California","USA","08/21/1990","08/07/2004",,,,,,,,,,,R,R,"6-03",185,,,,,,,,,NOT
abera101,Aber,"Albert Julius","Al","07/31/1927","Cleveland","Ohio","USA","09/15/1950","09/11/1957",,,,,,,"05/20/1993","Garfield Heights","Ohio","USA",L,L,"6-02",195,"Cremated, interred in West Park Cemetery","Cleveland","Ohio","USA",,,,,NOT
aberb001,Abernathy,"Michael Brent","Brent","09/23/1977","Atlanta","Georgia","USA","06/25/2001","09/29/2005",,,,,,,,,,,R,R,"6-01",185,,,,,,,,,NOT
aberb101,Abernathie,"William Edward","Bill","01/30/1929","Torrance","California","USA","09/27/1952","09/27/1952",,,,,,,"02/19/2006","Yucaipa","California","USA",R,R,"5-10",190,"Montecito Memorial Park","Colton","California","USA",,,,,NOT
aberc101,Aberson,"Clifford Alexander","Cliff","08/28/1921","Chicago","Illinois","USA","07/18/1947","05/09/1949",,,,,,,"06/23/1973","Vallejo","California","USA",R,R,"6-00",200,"Suisun-Fairfield Cemetery","Fairfield","California","USA",,,,,NOT
aberd101,Abercrombie,"Francis Patterson","Frank","01/02/1850","Fort Towson","Oklahoma","USA","10/21/1871","10/21/1871",,,,,,,"11/11/1939","Philadelphia","Pennsylvania","USA",,,,,"Cremated",,,,,,,,NOT
aberr001,Abercrombie,"Reginald Damascus","Reggie","07/15/1980","Columbus","Georgia","USA","04/04/2006","09/28/2008",,,,,,,,,,,R,R,"6-03",224,,,,,,,,,NOT
abert101,Abernathy,"Theodore Wade","Ted","03/06/1933","Stanley","North Carolina","USA","04/13/1955","09/30/1972",,,,,,,"12/16/2004","Gastonia","North Carolina","USA",R,R,"6-04",215,"Gaston Memorial Park","Gastonia","North Carolina","USA",,,,,NOT
abert102,Abernathy,"Talmadge Lafayette","Ted","10/30/1921","Bynum","North Carolina","USA","09/19/1942","04/29/1944",,,,,,,"11/16/2001","Charlotte","North Carolina","USA",R,L,"6-02",210,"Olney Presbyterian Church Cemetery","Gastonia","North Carolina","USA",,,,,NOT
aberw101,Abernathy,"Virgil Woodrow","Woody","02/01/1915","Forest City","North Carolina","USA","07/28/1946","04/17/1947",,,,,,,"12/05/1994","Louisville","Kentucky","USA",L,L,"6-00",170,"Resthaven Memorial Park","Louisville","Kentucky","USA",,,,,NOT
ableh101,Ables,"Harry Terrell","Harry","10/04/1883","Terrell","Texas","USA","09/02/1905","05/05/1911",,,,,,,"02/08/1951","San Antonio","Texas","USA",R,L,"6-02.5",200,"San Jose Burial Park","San Antonio","Texas","USA",,,,,NOT
abnes001,Abner,"Shawn Wesley","Shawn","06/17/1966","Hamilton","Ohio","USA","09/08/1987","10/03/1992",,,,,,,,,,,R,R,"6-01",190,,,,,,,,,NOT
abrac101,Abrams,"Calvin Ross","Cal","03/02/1924","Philadelphia","Pennsylvania","USA","04/19/1949","05/09/1956",,,,,,,"02/25/1997","Fort Lauderdale","Florida","USA",L,L,"6-00",185,"Star of David Memorial Gardens","North Lauderdale","Florida","USA","Garden Of Moses, Lot 205, Grave 1",,,,NOT
abrag101,Abrams,"George Allen","George","11/09/1897","Seattle","Washington","USA","04/19/1923","05/04/1923",,,,,,,"12/05/1986","Clearwater","Florida","USA",R,R,"5-09",170,"Sylvan Abbey Memorial Park","Clearwater","Florida","USA",,,,,NOT
abrea001,Abreu,"Albert Emmanuel","Albert","09/26/1995","Guayubin","Monte Cristi","Dominican Republic","08/08/2020","10/01/2021",,,,,,,,,,,R,R,"6-02",190,,,,,,,,,
abreb001,Abreu,"Bob Kelly","Bobby","03/11/1974","Maracay","Aragua","Venezuela","09/01/1996","09/28/2014",,,,,,,,,,,L,R,"6-00",160,,,,,,,,,NOT
abreb002,Abreu,Bryan Enrique,Bryan,04/22/1997,Santo Domingo,Distrito Nacional,Dominican Republic,07/31/2019,"08/29/2021",,,,,,,,,,,R,R,"6-01",204,,,,,,,,,
abrej001,Abrego,"Johnny Ray","Johnny","07/04/1962","Corpus Christi","Texas","USA","09/04/1985","10/03/1985",,,,,,,,,,,R,R,"6-00",185,,,,,,,,,NOT
abrej002,Abreu,"Juan de Dios (Reyes)","Juan","04/08/1985","San Francisco de Macoris","Duarte","Dominican Republic","08/29/2011","09/27/2011",,,,,,,,,,,R,R,"6-00",180,,,,,,,,,NOT
abrej003,Abreu,"Jose Dariel (Correa)","Jose","01/29/1987","Cienfuegos",,"Cuba","03/31/2014","10/12/2021",,,,,,,,,,,R,R,"6-03",255,,,,,,,,,NOT
abrej101,Abreu,"Joseph Lawrence","Joe","05/24/1913","Oakland","California","USA","04/23/1942","07/11/1942",,,,,,,"03/17/1993","Hayward","California","USA",R,R,"5-08",160,"Evergreen-Washelli Cemetery","Seattle","Washington","USA","Cremated",,,,NOT
abret001,Abreu,"Etanislao Toni","Tony","11/13/1984","Puerto Plata","Puerto Plata","Dominican Republic","05/22/2007","07/28/2014",,,,,,,,,,,B,R,"5-09",185,,,,,,,,,NOT
abrew001,Abreu,"Winston Leonardo","Winston","04/05/1977","Cotui","Sanchez Ramirez","Dominican Republic","08/06/2006","07/25/2009",,,,,,,,,,,R,R,"6-02",155,,,,,,,,,NOT
abstb101,Abstein,"William Henry","Bill","02/02/1883","St. Louis","Missouri","USA","09/25/1906","06/02/1910",,,,,,,"04/08/1940","St. Louis","Missouri","USA",R,R,"6-00",185,"Bethlehem Cemetery","Bellefontaine Neighbors","Missouri","USA",,,,,NOT
accaj001,Accardo,"Jeremy Lee","Jeremy","12/18/1981","Phoenix","Arizona","USA","05/04/2005","09/27/2012",,,"04/05/2021","11/03/2021",,,,,,,R,R,"6-02",190,,,,,,,,,NOT
aceva001,Aceves,"Alfredo","Alfredo","12/08/1982","San Luis Rio Colorado","Sonora","Mexico","08/31/2008","06/02/2014",,,,,,,,,,,R,R,"6-03",220,,,,,,,,,NOT
acevd001,Acevedo,"Domingo Antonio","Domingo","03/06/1994","Villa Los Almacigos","Santiago Rodriguez","Dominican Republic","06/21/2021","10/03/2021",,,,,,,,,,,R,R,"6-07",240,,,,,,,,,
acevj001,Acevedo,"Juan Carlos","Juan","05/05/1970","Ciudad Juarez","Chihuahua","Mexico","04/30/1995","08/05/2003",,,,,,,,,,,R,R,"6-02",195,,,,,,,,,NOT
acevj002,Acevedo,"Jose Omar","Jose","12/18/1977","Santo Domingo","Distrito Nacional","Dominican Republic","06/19/2001","09/29/2005",,,,,,,,,,,R,R,"6-00",185,,,,,,,,,NOT
achta001,Achter,"Adam Joseph","A.J.","08/27/1988","Toledo","Ohio","USA","09/03/2014","10/01/2016",,,,,,,,,,,R,R,"6-05",205,,,,,,,,,NOT
ackej001,Acker,"James Justin","Jim","09/24/1958","Freer","Texas","USA","04/07/1983","06/14/1992",,,,,,,,,,,R,R,"6-02",210,,,,,,,,,NOT
acket101,Acker,"Thomas James","Tom","03/07/1930","Paterson","New Jersey","USA","04/20/1956","09/20/1959",,,,,,,"01/04/2021","Narvon","Pennsylvania","USA",R,R,"6-04",215,,,,,,,,,NOT
ackld001,Ackley,"Dustin Michael","Dustin","02/26/1988","Winston-Salem","North Carolina","USA","06/17/2011","05/29/2016",,,,,,,,,"Pennsylvania",,L,R,"6-01",185,,,,,,,,,NOT
acklf101,Ackley,"Florian Frederick","Fritz","04/10/1937","Hayward","Wisconsin","USA","09/21/1963","05/09/1964",,,,,,,"05/22/2002","Duluth","Minnesota","USA",L,R,"6-01.5",202,"Greenwood Cemetery","Hayward","Wisconsin","USA",,,,,NOT
acosc101,Acosta,"Cecilio (Miranda)","Cy","11/22/1946","El Sabino","Sinaloa","Mexico","06/04/1972","05/05/1975",,,,,,,,,,,R,R,"5-10",165,,,,,,,,,NOT
acose101,Acosta,"Eduardo Elixbet (Lopez)","Ed","03/09/1944","Boquete","Chiriqui","Panama","09/07/1970","10/04/1972",,,,,,,,,,,B,R,"6-05",215,,,,,,,,,NOT
acosj101,Acosta,"Jose","Jose","03/04/1891","Havana",,"Cuba","07/28/1920","05/12/1922",,,,,,,"11/16/1977","Havana",,"Cuba",R,R,"5-06",134,,,,,,,,,NOT
acosm001,Acosta,"Manuel Alcides (Molina)","Manny","05/01/1981","Colon","Colon","Panama","08/12/2007","10/03/2012",,,,,,,,,,,R,R,"6-04",170,,,,,,,,,NOT
acosm101,Acosta,"Baldomero Pedro (Fernandez)","Merito","05/19/1896","Bauta",,"Cuba","06/05/1913","09/02/1918",,,,,,,"11/17/1963","Miami","Florida","USA",L,L,"5-07",140,"Flagler Memorial Park","Miami","Florida","USA",,,,,NOT
acrem001,Acre,"Mark Robert","Mark","09/16/1968","Concord","California","USA","05/13/1994","05/10/1997",,,,,,,,,,,R,R,"6-08",235,,,,,,,,,NOT
acunr001,Acuna,"Ronald Jose","Ronald","12/18/1997","La Guaira","Vargas","Venezuela","04/25/2018","07/10/2021",,,,,,,,,,,R,R,"6-00",180,,,,,,,,,NOT
adaij101,Adair,"Kenneth Jerry","Jerry","12/17/1936","Sand Springs","Oklahoma","USA","09/02/1958","05/03/1970",,,"04/15/1972","09/28/1975",,,"05/31/1987","Tulsa","Oklahoma","USA",R,R,"6-00",175,"Woodland Memorial Park","Sand Springs","Oklahoma","USA","Section Y, 84, 1",,,,NOT
adaij102,Adair,"James Aubrey","Jimmy","01/25/1907","Waxahachie","Texas","USA","08/24/1931","09/07/1931",,,"04/17/1951","10/03/1965",,,"12/09/1982","Farmers Branch","Texas","USA",R,R,"5-10.5",154,"Sparkman-Hillcrest Memorial Park","Dallas","Texas","USA",,,,,NOT
adama001,Adams,"Austin David","Austin","08/19/1986","Montgomery","Alabama","USA","07/12/2014","07/06/2019",,,,,,,,,,,R,R,"5-11",190,,,,,,,,,NOT
adama002,Adams,"Austin Lance","Austin","05/05/1991","Tampa","Florida","USA","07/15/2017","09/30/2021",,,,,,,,,,,R,R,"6-02",225,,,,,,,,,NOT
adama101,Adams,"Ace Townsend","Ace","03/02/1910","Willows","California","USA","04/15/1941","04/24/1946",,,,,,,"02/26/2006","Albany","Georgia","USA",R,R,"5-10.5",182,"Friendship Cemetery","Donalsonville","Georgia","USA",,,,,NOT
adamb101,Adams,"Elvin Clark","Buster","06/24/1915","Trinidad","Colorado","USA","04/27/1939","09/21/1947",,,,,,,"09/01/1990","Rancho Mirage","California","USA",R,R,"6-00",180,"Eternal Hills Memorial Park","Oceanside","California","USA",,,,,NOT
adamb102,Adams,"Robert Andrew","Bob","01/20/1907","Birmingham","Alabama","USA","09/27/1931","09/17/1932",,,,,,,"03/06/1970","Jacksonville","Florida","USA",R,R,"6-00.5",165,"Restlawn Memorial Park","Jacksonville","Florida","USA",,,,,NOT
adamb103,Adams,"Robert Henry","Bobby","12/14/1921","Tuolumne","California","USA","04/16/1946","04/22/1959",,,"04/11/1961","10/01/1973",,,"02/13/1997","Gig Harbor","Washington","USA",R,R,"5-10.5",160,"Cremated",,,,"Ashes retained by family",,,,NOT
adamb104,Adams,"Charles Benjamin","Babe","05/18/1882","Tipton","Indiana","USA","04/18/1906","08/11/1926",,,,,,,"07/27/1968","Silver Spring","Maryland","USA",L,R,"5-11.5",185,"Mount Moriah Cemetery","Mount Moriah","Missouri","USA","Cremated at Fort Lincoln Cemetery, Brentwood, MD",,,,NOT
adamb105,Adams,"Robert Melvin","Bob","01/06/1952","Pittsburgh","Pennsylvania","USA","07/10/1977","09/29/1977",,,,,,,,,,,R,R,"6-02",200,,,,,,,,,NOT
adamb106,Adams,"John Bertram","Jack","06/21/1891","Wharton","Texas","USA","08/30/1910","09/28/1919",,,,,,,"06/24/1940","Los Angeles","California","USA",B,R,"6-01",185,"Hollywood Forever Cemetery","North Hollywood","California","USA",,,,,NOT
adamb107,Adams,"Robert Burnette","Bob","07/24/1901","Holyoke","Massachusetts","USA","09/22/1925","09/23/1925",,,,,,,"10/17/1996","Lemoyne","Pennsylvania","USA",R,R,"5-11",168,"Schuykill Haven Union Cemetery","Schuykill Haven","Pennsylvania","USA",,,,,NOT
adamc001,Adames,"Cristhian Pascual","Cristhian","07/26/1991","Santo Domingo","Distrito Nacional","Dominican Republic","07/29/2014","09/29/2019",,,,,,,,,,,B,R,"6-00",180,,,,,,,,,NOT
adamc002,Adams,"Chance","Chance","08/10/1994","Scottsdale","Arizona","USA","08/04/2018","09/22/2020",,,,,,,,,,,R,R,"6-01",220,,,,,,,,,NOT
adamd001,Adams,"David Lee","David","05/15/1987","Margate","Florida","USA","05/15/2013","09/29/2013",,,,,,,,,,,R,R,"6-01",205,,,,,,,,,NOT
adamd101,Adams,"Harold Douglas","Doug","01/27/1943","Blue River","Wisconsin","USA","09/08/1969","10/01/1969",,,,,,,,,,,L,R,"6-03",185,,,,,,,,,NOT
adamd102,Adams,"Richard Leroy","Dick","04/08/1920","Tuolumne","California","USA","05/20/1947","09/28/1947",,,,,,,"09/14/2016","Fallbrook","California","USA",R,L,"6-00",185,"Cremated",,,,,,,,NOT
adamd103,Adams,"Daniel Leslie","Dan","06/19/1887","St. Louis","Missouri","USA","05/22/1914","09/26/1915",,,,,,,"10/06/1964","St. Louis","Missouri","USA",R,R,"5-11.5",165,"Resurrection Cemetery","St. Louis","Missouri","USA",,,,,NOT
adamg101,Adams,"Glenn Charles","Glenn","10/04/1947","Northbridge","Massachusetts","USA","05/04/1975","10/03/1982",,,,,,,,,,,L,R,"6-01",180,,,,,,,,,NOT
adamg102,Adams,"George Henry","George","01/25/1855","Worcester","Massachusetts","USA","06/14/1879","06/21/1879",,,,,,,"10/11/1920","Clarkston","Washington","USA",R,R,"5-06",175,"Normal Hill Cemetery","Lewiston","Idaho","USA",,,,,NOT
adamh101,Adams,"Herbert Loren","Herb","04/14/1928","Hollywood","California","USA","09/17/1948","08/30/1950",,,,,,,"02/01/2012","Tulsa","Oklahoma","USA",L,L,"5-09",160,"Calvary Cemetery","Tulsa","Oklahoma","USA",,,,,NOT
adamj001,Adamson,"Joel Lee","Joel","07/02/1971","Lakewood","California","USA","04/10/1996","04/26/1998",,,,,,,,,,,L,L,"6-04",185,,,,,,,,,NOT
adamj002,Adam,"Jason Kendall","Jason","08/04/1991","Overland Park","Kansas","USA","05/05/2018","10/02/2021",,,,,,,,,,,R,R,"6-04",225,,,,,,,,,NOT
adamj101,Adams,"James J.","Jim","1868","East St. Louis","Illinois","USA","04/21/1890","04/21/1890",,,,,,,,,,,,R,"5-06",148,,,,,,,,,NOT
adamj102,Adams,"Joseph Edward","Joe","10/28/1877","Cowden","Illinois","USA","04/26/1902","04/26/1902",,,,,,,"10/08/1952","Bachelor","Missouri","USA",R,L,"6-00",190,"Myers Cemetery","Herrick","Illinois","USA",,,,,NOT
adamk101,Adams,"Karl Tutwiler","Karl","08/11/1891","Columbus","Georgia","USA","04/19/1914","09/23/1915",,,,,,,"09/17/1967","Everett","Washington","USA",R,R,"6-02",170,"Cypress Lawn Memorial Park","Everett","Washington","USA",,,,,NOT
adaml001,Adams,"Lane Weston","Lane","11/13/1989","Talihina","Oklahoma","USA","09/01/2014","09/30/2018",,,,,,,,,,,R,R,"6-04",190,,,,,,,,,NOT
adamm001,Adams,"Jon Michael","Mike","07/29/1978","Corpus Christi","Texas","USA","05/18/2004","09/18/2014",,,,,,,,,,,R,R,"6-05",190,,,,,,,,,NOT
adamm002,Adams,"Matthew James","Matt","08/31/1988","Philipsburg, Centre County","Pennsylvania","USA","05/20/2012","07/24/2021",,,,,,,,,,,L,R,"6-03",230,,,,,,,,,NOT
adamm101,Adamson,"John Michael","Mike","09/13/1947","San Diego","California","USA","07/01/1967","05/07/1969",,,,,,,,,,,R,R,"6-02",185,,,,,,,,,NOT
adamm102,Adams,"Robert Michael","Mike","07/24/1948","Cincinnati","Ohio","USA","09/10/1972","07/25/1978",,,,,,,,,,,R,R,"5-09",180,,,,,,,,,NOT
adamr001,Adams,"Ricky Lee","Ricky","01/21/1959","Upland","California","USA","09/15/1982","10/05/1985",,,,,,,"10/28/2011","Rancho Cucamonga","California","USA",R,R,"6-02",180,"Bellevue Memorial Gardens","Ontario","California","USA",,,,,NOT
adamr002,Adams,"Russ Moore","Russ","08/30/1980","Laurinburg","North Carolina","USA","09/03/2004","06/30/2009",,,,,,,,,,,L,R,"6-01",180,,,,,,,,,NOT
adamr003,Adams,"Ryan Scott","Ryan","04/21/1987","New Orleans","Louisiana","USA","05/20/2011","09/19/2011",,,,,,,,,,,R,R,"5-11",185,,,,,,,,,NOT
adamr004,Adams,"Riley Keaton","Riley","06/26/1996","Encinitas","California","USA","06/08/2021","10/03/2021",,,,,,,,,,,R,R,"6-04",246,,,,,,,,,
adamr101,Adams,"Charles Dwight","Red","10/07/1921","Parlier","California","USA","05/05/1946","07/02/1946",,,"04/07/1969","10/06/1980",,,"01/18/2017","Fresno","California","USA",R,R,"6-00",185,"Parlier Cemetery District","Sanger","California","USA",,,,,NOT
adamr102,Adams,"Reuben Alexander","Rick","12/24/1878","Paris","Texas","USA","07/13/1905","09/29/1905",,,,,,,"03/10/1955","Paris","Texas","USA",L,L,"6-00",165,"Providence Cemetery","Paris","Texas","USA",,,,,NOT
adams101,Adams,"Earl John","Sparky","08/26/1894","Zerbe","Pennsylvania","USA","09/18/1922","09/30/1934",,,,,,,"02/24/1989","Pottsville","Pennsylvania","USA",R,R,"5-05.5",151,"St. Peter Church of Christ Cemetery","Tremont","Pennsylvania","USA",,,,,NOT
adams102,Adams,"Spencer Dewey","Spencer","06/21/1898","Layton","Utah","USA","04/22/1923","10/02/1927",,,,,,,"11/24/1970","Salt Lake City","Utah","USA",L,R,"5-09",158,"Kaysville City Cemetery","Kaysville","Utah","USA",,,,,NOT
adamt001,Adams,"Terry Wayne","Terry","03/06/1973","Mobile","Alabama","USA","08/10/1995","05/23/2005",,,,,,,,,,,R,R,"6-03",180,,,,,,,,,NOT
adamw001,Adams,"William Edward","Willie","10/08/1972","Gallup","New Mexico","USA","06/11/1996","08/14/1997",,,,,,,,,,,R,R,"6-07",215,,,,,,,,,NOT
adamw002,Adames,"Willy Rafael","Willy","09/02/1995","Santiago","Santiago","Dominican Republic","05/22/2018","10/12/2021",,,,,,,,,,,R,R,"6-00",200,,,,,,,,,NOT
adamw101,Adams,"James Irvin","Willie","09/27/1890","Clearfield","Pennsylvania","USA","06/30/1912","09/06/1919",,,,,,,"06/18/1937","Albany","New York","USA",R,R,"6-04",180,"Philipsburg Cemetery","Philipsburg, Centre County","Pennsylvania","USA",,,,,NOT
adcoj101,Adcock,"Joseph Wilbur","Joe","10/30/1927","Coushatta","Louisiana","USA","04/23/1950","10/01/1966","4/11/1967","10/01/1967",,,,,"05/03/1999","Coushatta","Louisiana","USA",R,R,"6-04",210,"Holly Springs Cemetery","Martin","Louisiana","USA",,,,,NOT
adcon001,Adcock,"Nathan Masler","Nathan","02/25/1988","Elizabethtown","Kentucky","USA","03/31/2011","07/26/2015",,,,,,,,,,,R,R,"6-05",220,,,,,,,,,NOT
addib101,Addis,"Robert Gordon","Bob","11/06/1925","Mineral","Ohio","USA","09/01/1950","06/12/1953",,,,,,,"11/15/2016","Mentor","Ohio","USA",L,R,"6-00",175,"Greenlawn Cemetery","Akron","Ohio","USA",,,,,NOT
adduj001,Adduci,"James David","Jim","08/09/1959","Chicago","Illinois","USA","09/12/1983","07/26/1989",,,,,,,,,,,L,L,"6-05",200,,,,,,,,,NOT
adduj002,Adduci,"Jim Charles","Jim","05/15/1985","Burnaby","British Columbia","Canada","09/01/2013","06/01/2019",,,,,,,,,,,L,L,"6-02",210,,,,,,,,,NOT
addyb101,Addy,"Robert Edward","Bob","02/  /1842","Port Hope","Ontario","Canada","05/06/1871","10/06/1877","10/04/1875","08/21/1877",,,"10/28/1875","10/28/1875","04/09/1910","Pocatello","Idaho","USA",L,L,"5-08",160,"Mountain View Cemetery","Pocatello","Idaho","USA",,,,,NOT
adelj001,Adell,"Jordon Scott","Jo","04/08/1999","Shelby","North Carolina","USA","08/04/2020","09/11/2021",,,,,,,,,,,R,R,"6-03",215,,,,,,,,,
adenn001,Adenhart,"Nicholas James","Nick","08/24/1986","Silver Spring","Maryland","USA","05/01/2008","04/08/2009",,,,,,,"04/09/2009","Orange","California","USA",R,R,"6-03",185,"Greenlawn Memorial Park","Williamsport","Maryland","USA",,,,,NOT
aderm101,Aderholt,"Morris Woodrow","Morrie","09/13/1915","Mount Olive","North Carolina","USA","09/13/1939","09/30/1945",,,,,,,"03/18/1955","Sarasota","Florida","USA",L,R,"6-01",188,"Appomattox Cemetery","Hopewell","Virginia","USA",,,,,NOT
adkid101,Adkins,"Richard Earl","Dick","03/03/1920","Electra","Texas","USA","09/19/1942","09/20/1942",,,,,,,"09/12/1955","Electra","Texas","USA",R,R,"5-10",165,"Electra Memorial Park","Electra","Texas","USA",,,,,NOT
adkid102,Adkins,"Merle Theron","Doc","08/05/1872","Troy","Wisconsin","USA","06/24/1902","09/29/1903",,,,,,,"02/21/1934","Durham","North Carolina","USA",R,R,"5-10.5",220,"Maplewood Cemetery","Durham","North Carolina","USA",,,,,NOT
adkid103,Adkins,"John Dewey","Dewey","05/11/1918","Norcatur","Kansas","USA","09/19/1942","10/02/1949",,,,,,,"12/26/1998","Santa Monica","California","USA",R,R,"6-02",195,"Wilsonville Cemetery","Wilsonville","Nebraska","USA",,,,,NOT
adkig101,Adkins,"Grady Emmett","Grady","06/29/1897","Jacksonville","Arkansas","USA","04/13/1928","10/05/1929",,,,,,,"03/31/1966","Little Rock","Arkansas","USA",R,R,"5-11",175,"Pine Crest Memorial Park","Alexander","Arkansas","USA",,,,,NOT
adkih101,Atkinson,"John Harry","Harry","06/16/1874","Fulton","Missouri","USA","09/25/1895","09/25/1895",,,,,,,"01/02/1953","Mexico","Missouri","USA",,,,,"Hillcrest Cemetery","Fulton","Missouri","USA",,,,,NOT
adkij001,Adkins,"Jonathan Scott","Jon","08/30/1977","Huntington","West Virginia","USA","08/14/2003","09/27/2008",,,,,,,,,,,L,R,"6-00",200,,,,,,,,,NOT
adkis001,Adkins,"Steven Thomas","Steve","10/26/1964","Chicago","Illinois","USA","09/12/1990","10/03/1990",,,,,,,,,,,R,L,"6-06",210,,,,,,,,,NOT
adled101,Adlesh,"David George","Dave","07/15/1943","Long Beach","California","USA","05/12/1963","09/28/1968",,,,,,,"02/15/2016","Long Beach","California","USA",R,R,"6-00",187,"Forest Lawn Memorial Park","Cypress","California","USA",,,,,NOT
